EstType,Parameter,Estimate,StdErr,tValue,Probt,DF,ess
SUREstim,bbranche,2.28844772078308,0.09482841287468,24.1325110418878,1.1739224170206E-21,31.4444444444444,Eastern Red Cedar
SUREstim,afoliage,0.05500421917174,0.01722688769444,3.19292841210515,0.00322352075534,31.4444444444444,Eastern Red Cedar
SUREstim,bfoliage,1.86558536680495,0.10786607737925,17.295385278966,1.7754057037797E-17,31.4444444444444,Eastern Red Cedar
SUREstim,awood,0.06542020080228,0.0036911845856,17.7233620495112,1.7278041707759E-41,182.444444444444,Eastern White Cedar
SUREstim,bwood,2.21208666357603,0.01704906523333,129.748266740813,2.6956291089838E-181,182.444444444444,Eastern White Cedar
SUREstim,abark,0.01144664252329,0.00128739061083,8.89135156566379,5.8768289680905E-16,182.444444444444,Eastern White Cedar
SUREstim,bbark,2.14322909039856,0.03483599535347,61.5234061393037,9.6947840187853E-124,182.444444444444,Eastern White Cedar
SUREstim,abranche,0.03348499698407,0.00336453573718,9.95233803404134,6.620099896613E-19,182.444444444444,Eastern White Cedar
SUREstim,bbranche,1.93672847161564,0.033095239676,58.5198503040308,5.6663588262643E-120,182.444444444444,Eastern White Cedar
SUREstim,afoliage,0.04991431741687,0.00378717886944,13.1798151440989,2.7639751595105E-28,182.444444444444,Eastern White Cedar
SUREstim,bfoliage,1.72781325914753,0.02653009363574,65.1265420646455,4.8130108263098E-128,182.444444444444,Eastern White Cedar
SUREstim,awood,0.09969107991369,0.01290701378854,7.72379123063676,5.5939552502104E-13,197.444444444444,Eastern White Pine
SUREstim,bwood,2.27089082365181,0.0349928328338,64.8958840925349,6.4045849942867E-135,197.444444444444,Eastern White Pine
SUREstim,abark,0.01915093806728,0.00158861124662,12.0551444589847,1.9944565998502E-25,197.444444444444,Eastern White Pine
SUREstim,bbark,2.2037764584132,0.02368259985115,93.0546676574407,9.1239541620201E-165,197.444444444444,Eastern White Pine
SUREstim,abranche,0.0056487616046,0.00078614332263,7.18540938014813,1.3502000074612E-11,197.444444444444,Eastern White Pine
SUREstim,bbranche,2.60105597465103,0.03810318397392,68.2634809844514,4.5874964734876E-139,197.444444444444,Eastern White Pine
SUREstim,afoliage,0.02841928721033,0.00236933092983,11.9946466120312,3.0426978376626E-25,197.444444444444,Eastern White Pine
SUREstim,bfoliage,1.93753531034761,0.02478460571067,78.1749499252006,2.9811111933668E-150,197.444444444444,Eastern White Pine
SUREstim,awood,0.0719768436367,0.00433707707727,16.5957031323913,8.4776631584803E-20,41.4444444444444,Grey Birch
SUREstim,bwood,2.38845488442856,0.02229779796546,107.116177486592,7.9413301872809E-52,41.4444444444444,Grey Birch
SUREstim,abark,0.01677319938604,0.00113126876124,14.8268916819035,4.5152315254853E-18,41.4444444444444,Grey Birch
