Row;Effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col43;Col44;Col46
33;ldhp*milieu;;;;0;-0.043813326;-3.0814E-05;-1.49325E-06;1.84555E-05;-0.00052708;-0.0005033;-0.000440656;-0.000629007;-9.61272E-05;-0.00028822;-0.000422551;-0.000139292;-0.000186405;-0.000235968;-0.000208433;-0.000392849;0.007276768;-9.62338E-05;-4.94546E-05;-9.57135E-06;-0.000279797;-0.000338212;0.001699681;-0.000485624;0.028272934;-0.000301043;-5.74225E-05;-0.000333226;0.026882693;1.21968E-06;0.045281598;0.043841866;0.043740783;0.043650318;0.043145389;0.043518343;0.043723373;0.016162724;0.02096961;-9.05219E-06;-1.39696E-06;9.30441E-05
34;ldhp*milieu;;;;1;-0.04384969;-3.45614E-05;-1.94096E-06;2.90798E-05;-0.000711167;-0.000375726;-0.000484827;-0.000610894;-9.92694E-05;-0.000407131;-0.000496465;-0.00019095;-4.04717E-05;-0.000159374;-0.000176717;-0.000191288;0.007343572;-0.000122921;-4.45177E-05;-0.000124895;-0.000365562;-0.000479353;0.001574013;-0.000542413;0.028290868;-0.000333538;-9.82552E-05;-0.000525456;0.026863446;1.49788E-06;0.043841866;0.045769878;0.043815467;0.043763259;0.043281061;0.043607371;0.043875637;0.016190322;0.021009459;-1.99856E-05;4.62853E-06;8.10493E-05
35;ldhp*milieu;;;;2;-0.043722039;-5.78059E-05;-2.49458E-06;4.11594E-05;-0.000541885;-0.000398962;-0.000439622;-0.000617007;-0.000125978;-0.000351107;-0.000445834;-0.000163358;-8.8339E-05;-0.00016314;-0.000197032;-0.000108868;0.007388782;-4.50885E-05;2.56316E-05;-4.72577E-05;-0.000254423;-0.00033031;0.001678701;-0.000249141;0.028335458;-3.88294E-05;3.29615E-05;-0.000226117;0.026949544;1.08199E-06;0.043740783;0.043815467;0.043914056;0.043685587;0.043138883;0.043519803;0.043731056;0.016156455;0.020959615;-2.23711E-05;-1.82545E-06;9.02341E-05
36;ldhp*milieu;;;;3;-0.043759755;-4.77318E-05;-2.85541E-06;4.10603E-05;-0.000266611;-7.99789E-06;-0.000284118;-0.000273195;-0.00036251;-0.000131963;-0.000526993;-0.00010076;-8.24014E-05;-0.000238406;-0.000432519;-0.00019477;0.007247743;-0.000200099;-0.00017331;-0.000173733;-0.0004366;-0.000341064;0.000683636;-0.00037767;0.028100291;-0.000188547;-8.83476E-05;-0.000371529;0.02660507;1.67577E-06;0.043650318;0.043763259;0.043685587;0.04634046;0.043006581;0.043432801;0.043835363;0.016241399;0.021093839;-2.82072E-05;9.78735E-07;4.31506E-05
37;ldhp*milieu;;;;4;-0.044774925;-1.14477E-05;-1.35718E-06;2.10844E-05;-0.001325281;-0.000209078;-0.000148758;-0.000513786;9.70368E-05;-0.000236791;-0.000174895;0.000145611;0.000312094;0.001324429;0.001282718;0.001396253;0.008591371;0.001322779;0.001494191;0.001364699;0.001126745;0.001083552;0.002969377;0.001150841;0.029164053;0.001439015;0.000920247;0.000863394;0.027677338;1.02297E-06;0.043145389;0.043281061;0.043138883;0.043006581;0.057100419;0.04300031;0.043204443;0.016265257;0.020862494;-7.41372E-06;-2.65992E-05;9.41727E-05
38;ldhp*milieu;;;;5;-0.043562544;-4.3176E-05;-1.93851E-06;3.1992E-05;-0.000685897;-0.000308906;-0.000341245;-0.000502439;-5.53144E-05;-0.000265563;-0.000332388;-0.00011995;-5.0291E-06;6.08193E-05;7.37648E-06;0.000120512;0.007075379;8.74581E-05;0.000113936;7.47472E-05;-0.000137378;-0.000161721;0.001674897;-0.000183888;0.028221882;7.48111E-05;3.32985E-05;-0.000224829;0.026824682;8.49222E-07;0.043518343;0.043607371;0.043519803;0.043432801;0.04300031;0.044260854;0.043531901;0.016171869;0.020950496;-2.05317E-05;-5.25559E-06;6.00831E-05
39;ldhp*milieu;;;;6;-0.043644859;-0.000111408;-5.67243E-07;7.54246E-05;-0.000538566;-0.000108584;-0.000398316;-0.00038718;-0.000138738;-0.00022109;-0.000382258;-0.00020167;-3.3954E-05;-4.14335E-05;-0.000128808;-3.83475E-05;0.007354418;-3.07281E-05;2.11532E-06;-1.26162E-05;-0.000464091;-0.000280873;0.000568077;-0.000330473;0.028227574;-5.96474E-05;-0.000268256;-0.000498746;0.026742799;1.56008E-06;0.043723373;0.043875637;0.043731056;0.043835363;0.043204443;0.043531901;0.049335612;0.016210126;0.02107456;-9.21384E-06;7.28244E-06;2.37465E-05
40;ldhp*milieu;;;;7;-0.016603052;5.59271E-05;-2.07731E-06;-4.33504E-05;-0.000808807;0.000172135;0.000240962;0.000181836;0.000187927;0.000324011;0.000194405;0.000316381;0.000645572;-0.000248884;-0.000261551;-0.000244371;-0.000263998;-0.000321269;-0.000308975;-0.000220023;-0.000285556;-0.000204878;-0.000176606;-0.000206408;-0.000120396;-0.000283458;-0.000246764;-0.000299741;-0.000320473;6.13214E-07;0.016162724;0.016190322;0.016156455;0.016241399;0.016265257;0.016171869;0.016210126;0.035877004;0.016160952;-1.48574E-05;-1.36783E-05;6.99524E-05
41;ldhp*milieu;;;;8;-0.020741068;-2.31705E-05;-5.4632E-07;9.79986E-06;-8.19932E-05;0.000157862;-1.62338E-05;2.35865E-05;-0.000154924;4.05927E-05;-0.00015024;-4.66067E-05;-1.15558E-05;-5.41064E-05;-7.16963E-05;-6.03845E-05;-0.000239634;-0.000179397;-0.000181688;-7.34501E-05;-0.000204872;-2.91306E-05;-8.1491E-05;-0.000272568;0.005220681;-0.000103438;-0.000131545;-0.000259699;0.004286543;4.33149E-07;0.02096961;0.021009459;0.020959615;0.021093839;0.020862494;0.020950496;0.02107456;0.016160952;0.021565058;-6.82485E-06;-7.69401E-06;-6.18531E-05
43;ldhp*pert;INT;;;;-1.77549E-05;-1.94703E-05;2.44551E-06;1.1854E-05;1.00836E-05;-6.83095E-06;-4.98146E-07;1.07055E-05;-6.42304E-06;6.8755E-06;2.34995E-06;2.90071E-06;-6.37305E-06;3.14718E-05;3.50551E-05;1.85962E-05;3.57788E-05;2.11349E-05;2.02777E-05;3.38708E-05;3.71522E-05;3.82756E-05;4.56515E-05;4.21536E-05;3.64248E-05;1.81785E-05;2.1162E-05;3.13752E-05;3.66816E-05;-2.13998E-08;-9.05219E-06;-1.99856E-05;-2.23711E-05;-2.82072E-05;-7.41372E-06;-2.05317E-05;-9.21384E-06;-1.48574E-05;-6.82485E-06;0.00028061;2.13038E-05;-7.22148E-06
44;ldhp*pert;MOY;;;;4.5491E-05;-4.19054E-05;1.14387E-06;3.68734E-05;8.52805E-06;2.95808E-06;-1.89569E-07;-3.99699E-06;-5.54412E-06;-1.37293E-05;-2.22188E-05;-1.17186E-05;-3.43188E-06;1.33348E-05;1.63239E-05;6.37815E-06;-4.83283E-06;1.20378E-05;-1.85341E-06;-1.50756E-06;-2.20822E-06;2.2158E-06;-2.24261E-05;1.11163E-05;5.14864E-06;6.19065E-06;-2.0641E-05;-5.45935E-06;-2.46797E-06;-5.06992E-09;-1.39696E-06;4.62853E-06;-1.82545E-06;9.78735E-07;-2.65992E-05;-5.25559E-06;7.28244E-06;-1.36783E-05;-7.69401E-06;2.13038E-05;0.000151577;4.58644E-07
