ESSENCE,DHP,GROUPE,DER,ScF1,ScF2,ScF3,ScF4,PATE,CARIE,NU,BM,AUTRE
CAF,84,AUF 24 +  ,0.03677762,0.03086842,1.050719,2.444671,0.5897207,50.84724,25,5,15,0
CAF,86,AUF 24 +  ,0.02214214,0.01566081,0.7584731,2.346257,0.5719889,51.28548,25,5,15,0
CAF,88,AUF 24 +  ,0.01294047,0.007593603,0.5346158,2.259989,0.5553556,51.62951,25,5,15,0
CAF,90,AUF 24 +  ,0.007341806,0.003519452,0.3681893,2.184931,0.539755,51.89626,25,5,15,0
CAF,92,AUF 24 +  ,0.007019368,0.003364885,0.3520191,2.088973,0.5160499,52.03257,25,5,15,0
CAF,94,AUF 24 +  ,0.006717217,0.003220042,0.3368664,1.999053,0.4938365,52.16031,25,5,15,0
CAF,96,AUF 24 +  ,0.006433744,0.003084153,0.3226503,1.914691,0.4729961,52.28014,25,5,15,0
CAF,98,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,100,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,102,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,104,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,106,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,108,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,110,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,112,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,114,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,116,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,118,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,120,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,122,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,124,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,126,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,128,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,130,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,132,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,134,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,136,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,138,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,140,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,142,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,144,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,146,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,148,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,150,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,152,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,154,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,156,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,158,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,160,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CET,10,Tous FD 10-22 ,0,0,0,0,0,60,1,39,0,0
CET,12,Tous FD 10-22 ,0,0,0,0,0,78,1,21,0,0
CET,14,Tous FD 10-22 ,0,0,0,0,0,80,1,15,4,0
CET,16,Tous FD 10-22 ,0,0,0,0,0,80,1,12,7,0
CET,18,Tous FD 10-22 ,0,0,0,0,0,80,1,10,9,0
CET,20,Tous FD 10-22 ,0,0,0,0,0,80,1,9,10,0
CET,22,Tous FD 10-22 ,0,0,0,0,0,80,1,9,10,0
CET,24,AUF 24 +  ,0.369673,0.04070443,4.936518,32.87616,5.176368,29.60057,1,9,17,0
CET,26,AUF 24 +  ,0.4783325,0.07069683,5.600336,32.87616,4.341733,28.63274,2,9,17,0
