ModelID;ParameterEstimate
3;0
3;0
3;-0.0190545227718
3;-0.0181924565934
3;-0.017008102236
3;-0.0176116159977
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0060995811518
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00099168934011
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0188934956592
3;-0.0182432221895
3;-0.0171233361564
3;-0.0177139887168
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0018607007589
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00085057493983
3;0.00081272463465
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0280242424372
3;-0.0264731878053
3;-0.023939609924
3;-0.0253238665259
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0056706520828
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00133808869539
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0291755450326
3;-0.0279850030912
3;-0.0256411484565
3;-0.0269457935174
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00015202874102
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00119300427953
3;0.00119808724665
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0243040367364
3;-0.0233611919348
3;-0.0216966018871
3;-0.0227030694617
3;0
3;0
3;0
3;0
3;-0.0040309501713
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00117634148785
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0272854504614
3;-0.0265970835538
3;-0.0249927403746
3;-0.0259811612379
3;0
3;0
3;0
3;0
3;0.00220111298231
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00107560221303
3;0.00113468600845
3;0.00122321466045
3;0.00119111843867
3;0.00117146227848
3;0.00118742774355
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0000681043396
3;0
3;0
3;0
3;0
3;-0.0000475759149
3;-0.00004882777
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;4.78315025446E-7
3;0
3;0
3;0
3;0
3;0.00037296644735
3;0.00035735914921
3;0.00034730961793
3;0.00035949715774
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00003476753028
3;0
3;0
3;0
3;0
3;0
3;-0.0000166831592
3;-0.0000158605905
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;1.66662721641E-7
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00018906851784
3;0.00018222625459
3;0.00017144891913
3;0.00017613944601
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00004175612857
3;0
3;0
3;0
3;0
3;0
3;0
3;-9.5230459056E-6
3;-8.5477144812E-6
3;0
3;0
3;0
3;0
3;0
3;0
3;9.59293333386E-8
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00027619375815
3;0.00026395193262
3;0.00024168827555
3;0.00025199127992
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00003418582047
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0000128842042
3;-0.0000119862322
3;0
3;0
3;0
3;0
3;0
3;1.30030600091E-7
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00025038298746
3;0.00024318226692
3;0.00022817556723
3;0.00023577663104
3;0
3;0
3;0
3;0
3;0.00002470238785
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0000119123073
3;-0.0000112853568
3;0
3;0
3;0
3;0
3;1.25543856854E-7
4;3.58330547304976
4;3.5476299124534
4;3.60071634270788
4;3.46991538069373
4;3.47113111054402
4;3.43077162585449
4;3.52959409987386
4;3.53755330318698
4;3.45463503783396
4;3.55548400105303
4;0
4;0
4;0
4;0
4;0.86962200719316
4;0
4;0
4;0
4;0
4;0.87623751857138
4;0.92043264615198
4;0
4;0
4;0
4;0
4;0.82770646912817
4;0.85237678147368
4;0.82593730875859
4;0
4;0
4;0
4;0
4;0.86133847463121
4;0.89042643944095
4;0.83856296994117
4;0.88984696548609
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.38669081156595
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.3723564066867
4;0.38378717935235
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0
4;0.36305440152412
4;0.36542543885516
4;0.37681891837469
4;0
4;0
4;0
4;0
4;0
