Dependent,Estimate,Probt,ess,esslat
bark2,1.042422163,0.4084,Hop-Hornbeam,OstryaVirginiana
stem2,3.871176835,0.0448,Hop-Hornbeam,OstryaVirginiana
branches2,-2.8796251,0.0385,Hop-Hornbeam,OstryaVirginiana
foliage2,0.435495931,0.8264,Hop-Hornbeam,OstryaVirginiana
crown2,-1.372753302,0.3226,Hop-Hornbeam,OstryaVirginiana
total2,1.832178671,0.2545,Hop-Hornbeam,OstryaVirginiana
wood2,3.956727847,<.0001,Jack Pine,PinusBanksiana
bark2,3.849523882,<.0001,Jack Pine,PinusBanksiana
stem2,3.974004649,<.0001,Jack Pine,PinusBanksiana
branches2,4.449650339,<.0001,Jack Pine,PinusBanksiana
foliage2,2.863606514,<.0001,Jack Pine,PinusBanksiana
crown2,3.6838063,<.0001,Jack Pine,PinusBanksiana
total2,3.852950497,<.0001,Jack Pine,PinusBanksiana
wood2,4.803537365,<.0001,Largetooth Aspen,PopulusGrandidentata
bark2,2.996622655,<.0001,Largetooth Aspen,PopulusGrandidentata
stem2,3.943398608,<.0001,Largetooth Aspen,PopulusGrandidentata
branches2,4.709569987,<.0001,Largetooth Aspen,PopulusGrandidentata
foliage2,2.976899276,<.0001,Largetooth Aspen,PopulusGrandidentata
crown2,4.941411054,<.0001,Largetooth Aspen,PopulusGrandidentata
total2,4.278441447,<.0001,Largetooth Aspen,PopulusGrandidentata
wood2,3.410126226,0.0029,Red Ash,FraxinusPennsylvanica
bark2,2.991088679,0.0008,Red Ash,FraxinusPennsylvanica
stem2,3.35485253,0.0208,Red Ash,FraxinusPennsylvanica
branches2,2.836984503,0.0017,Red Ash,FraxinusPennsylvanica
foliage2,1.00448374,0.3196,Red Ash,FraxinusPennsylvanica
crown2,3.089602158,0.0022,Red Ash,FraxinusPennsylvanica
total2,3.513895945,0.0011,Red Ash,FraxinusPennsylvanica
wood2,3.799341357,<.0001,Red Maple,AcerRubrum
bark2,4.263618621,<.0001,Red Maple,AcerRubrum
stem2,3.817192419,<.0001,Red Maple,AcerRubrum
branches2,3.526516534,<.0001,Red Maple,AcerRubrum
foliage2,1.754536606,<.0001,Red Maple,AcerRubrum
crown2,3.424907126,<.0001,Red Maple,AcerRubrum
total2,4.404468477,<.0001,Red Maple,AcerRubrum
wood2,3.261288381,<.0001,Red Oak,QuercusRubra
bark2,3.552126587,<.0001,Red Oak,QuercusRubra
stem2,3.09343509,<.0001,Red Oak,QuercusRubra
branches2,4.040493324,<.0001,Red Oak,QuercusRubra
foliage2,2.983480163,<.0001,Red Oak,QuercusRubra
crown2,3.980367559,<.0001,Red Oak,QuercusRubra
total2,3.252084263,<.0001,Red Oak,QuercusRubra
wood2,3.92100083,<.0001,Red Spruce,PiceaRubens
bark2,3.924647663,<.0001,Red Spruce,PiceaRubens
stem2,3.347437902,<.0001,Red Spruce,PiceaRubens
branches2,3.47683575,<.0001,Red Spruce,PiceaRubens
foliage2,3.532454369,<.0001,Red Spruce,PiceaRubens
crown2,3.941337414,<.0001,Red Spruce,PiceaRubens
total2,3.119786633,<.0001,Red Spruce,PiceaRubens
wood2,4.823790257,<.0001,Trembling Aspen,PopulusTremuloides
bark2,4.592614966,<.0001,Trembling Aspen,PopulusTremuloides
stem2,4.670249925,<.0001,Trembling Aspen,PopulusTremuloides
branches2,4.053209605,<.0001,Trembling Aspen,PopulusTremuloides
foliage2,1.851161656,<.0001,Trembling Aspen,PopulusTremuloides
crown2,3.307141504,<.0001,Trembling Aspen,PopulusTremuloides
total2,4.407309859,<.0001,Trembling Aspen,PopulusTremuloides
wood2,2.46071234,<.0001,White Ash,FraxinusAmericana
bark2,3.39633464,<.0001,White Ash,FraxinusAmericana
stem2,2.601566014,<.0001,White Ash,FraxinusAmericana
branches2,3.99441933,<.0001,White Ash,FraxinusAmericana
foliage2,1.076820727,0.0003,White Ash,FraxinusAmericana
crown2,3.601879379,<.0001,White Ash,FraxinusAmericana
total2,3.376331612,<.0001,White Ash,FraxinusAmericana
wood2,3.714189139,<.0001,White Elm,UlmusAmericana
bark2,3.207697884,<.0001,White Elm,UlmusAmericana
stem2,3.29937735,<.0001,White Elm,UlmusAmericana
branches2,2.838047575,<.0001,White Elm,UlmusAmericana
foliage2,2.404979591,<.0001,White Elm,UlmusAmericana
crown2,2.962071828,<.0001,White Elm,UlmusAmericana
total2,3.301537693,<.0001,White Elm,UlmusAmericana
wood2,2.519650624,<.0001,Yellow Birch,BetulaAlleghaniensis
bark2,2.875620868,<.0001,Yellow Birch,BetulaAlleghaniensis
stem2,2.439553659,<.0001,Yellow Birch,BetulaAlleghaniensis
branches2,4.452836192,<.0001,Yellow Birch,BetulaAlleghaniensis
foliage2,1.253549175,<.0001,Yellow Birch,BetulaAlleghaniensis
crown2,3.201594977,<.0001,Yellow Birch,BetulaAlleghaniensis
total2,2.585728205,<.0001,Yellow Birch,BetulaAlleghaniensis
