PopSize;nbTaxa;minSp;maxSp;Simpson;Sorensen;Nestedness;SimpsonCorr;SorensenCorr;NestednessCorr
100;80;11;20;0.9733040542992994;0.9767748454682529;0.0034707911689534354;0.4216903468285357;0.45685685907447815;0.03516651224594247
100;60;11;20;0.9704158526374547;0.9744556330148894;0.004039780377434687;0.3961490258630511;0.4327694154161347;0.036620389553083554
100;40;11;20;0.9629963459196103;0.9687612466709854;0.005764900751375146;0.34231605199123666;0.38280383401120627;0.04048778201996961
200;100;11;20;0.9869581809790905;0.9886682384875048;0.0017100575084143532;0.4307716443320234;0.4659475705520692;0.03517592622004578
200;80;11;20;0.9862656118228184;0.9879504865999076;0.0016848747770892292;0.4179615037696353;0.4505219862612645;0.032560482491629184
200;60;11;20;0.9845076049146944;0.9866533479950642;0.002145743080369855;0.38855795816813504;0.42504004831110037;0.03648209014296533
200;40;11;20;0.9810890633954042;0.9842721756823639;0.003183112286959666;0.34158309471293197;0.38492419083121254;0.043341096118280575
300;100;11;20;0.991203947572274;0.9923184770898833;0.001114529517609264;0.4289790013795693;0.46271707594434597;0.03373807456477668
300;80;11;20;0.9906912219624602;0.9919139915470071;0.0012227695845469233;0.41503474308159133;0.44988530774853885;0.034850564666947526
300;60;11;20;0.989729750412453;0.9911936612888751;0.0014639108764220587;0.39115622053407817;0.42869019433047323;0.03753397379639506
300;40;11;20;0.9870916406353241;0.9893158887465426;0.002224248111218574;0.3376582156734505;0.3816904411847229;0.044032225511272394
400;100;11;20;0.9933637158871238;0.9941888093206014;8.250934334775861E-4;0.4280595209009575;0.46103523772665633;0.03297571682569883
400;80;11;20;0.9929817990903566;0.9939056538553049;9.238547649483841E-4;0.4143255828222624;0.44916708951440554;0.03484150669214314
400;60;11;20;0.9922219020318607;0.9933458544586776;0.0011239524268169543;0.3894362752636368;0.427397192720296;0.03796091745665925
400;40;11;20;0.9902954554443697;0.9919467069987764;0.0016512515544067075;0.337845926656775;0.38113605018710195;0.04329012353032696
500;100;11;20;0.9946715060717802;0.9953313626947606;6.598566229804037E-4;0.42748566639838703;0.4602708200112136;0.03278515361282658
500;80;11;20;0.9943488956167451;0.9951071999346435;7.583043178983617E-4;0.41308569316371163;0.4485885420353053;0.03550284887159366
500;60;11;20;0.9937620664672622;0.9946649053792652;9.028389120030456E-4;0.3892152501839646;0.4271810827333081;0.03796583254934355
500;40;11;20;0.9921710432497403;0.9935445669291338;0.0013735236793935846;0.33639642016691795;0.3810475902409421;0.04465117007402414
600;100;11;20;0.9955339667800743;0.9961085028978354;5.745361177610375E-4;0.4262900863619069;0.46040303593146364;0.03411294956955674
600;80;11;20;0.9952804894974886;0.9959125258350324;6.320363375438287E-4;0.41278528609219817;0.4481742392085328;0.03538895311633461
600;60;11;20;0.9948284406546147;0.9955540956999739;7.256550453591526E-4;0.3906962683125429;0.4274001828205124;0.036703914507969504
600;40;11;20;0.9934666594485553;0.9946346351499255;0.001167975701370172;0.33637282746272346;0.38192834492872835;0.04555551746600489
700;100;11;20;0.9961814078672753;0.9966530836301589;4.716757628836499E-4;0.42705287995550245;0.4596951808650878;0.032642300909585364
700;80;11;20;0.995966353374814;0.9964884812876871;5.221279128730938E-4;0.4136514939401493;0.4477553414876615;0.03410384754751222
700;60;11;20;0.9955425502861744;0.9961819637187163;6.394134325418133E-4;0.38954573971972545;0.4270886359897482;0.037542896270022774
700;40;11;20;0.9944007188077877;0.9953620913343179;9.613725265301687E-4;0.33661154972243307;0.3801079358588752;0.04349638613644213
800;100;11;20;0.9966392148072818;0.99706885715358;4.2964234629816467E-4;0.4257407519654942;0.4595791242510365;0.03383837228554226
800;80;11;20;0.9964524490169462;0.9969274753664188;4.75026349472607E-4;0.4125289390931441;0.4478686180730691;0.035339678979925016
800;60;11;20;0.9960884507694908;0.9966509566778834;5.625059083925743E-4;0.3889894494625846;0.4265995317631635;0.037610082300578884
800;40;11;20;0.9950731104648869;0.9959144741447382;8.413636798513258E-4;0.3355126461413315;0.378656734460573;0.04314408831924149
